"id","crawl_name","crawl_url","abr_name","abn","fuzzy_score","llm_score","final_score","match_method","state","postcode","start_date","is_verified","verified_by","verified_at","created_at"
"1","Contact","https://50spluslifestyle.com.au/financial-considerations-returning-to-work/","Contracta Group Holdings PTY LTD","46657534515","0.8750",NULL,"0.8750","fuzzy","NSW","2041","2022-03-24",False,NULL,NULL,"2025-11-30 15:18:24.225744"
"2","The Gardens Henry","http://merchantsofultimo.com.au/about/","Garden Of Hemp PTY LTD","46643990505","0.7500",NULL,"0.7500","fuzzy","NSW","2200","2020-09-01",False,NULL,NULL,"2025-11-30 15:18:24.225744"
"3","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","Real Estate Unity PTY LTD","46655650007","0.7857",NULL,"0.7857","fuzzy","QLD","4215","2022-11-27",False,NULL,NULL,"2025-11-30 15:18:24.225744"
"4","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","Western Group PTY LTD","42159595534","1.0000",NULL,"1.0000","fuzzy","NSW","2170","2018-05-31",False,NULL,NULL,"2025-11-30 15:18:24.225744"
"5","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Assett QLD PTY LTD","15667888708","0.7500",NULL,"0.7500","fuzzy","QLD","4306","2023-05-11",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"6","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Asset Services PTY LTD","20160421090","0.9091",NULL,"0.9091","fuzzy","NT","0820","2012-09-28",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"7","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Assetio PTY LTD","11685919279","0.7692",NULL,"0.7692","fuzzy","VIC","3331","2025-04-02",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"8","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","ASSETID Pty Ltd","47135050823","0.7692",NULL,"0.7692","fuzzy","NSW","2775","2010-06-22",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"9","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Assent Group PTY LTD","11651624592","0.8333",NULL,"0.8333","fuzzy","VIC","3146","2021-07-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"10","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Assetex Holdings PTY LTD","20628988027","0.7692",NULL,"0.7692","fuzzy","QLD","4000","2018-09-24",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"11","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Asset Path PTY LTD","42642100276","0.7500",NULL,"0.7500","fuzzy","NSW","2068","2020-07-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"12","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Asset Tag Pty. LIMITED","29106942581","0.8000",NULL,"0.8000","fuzzy","NSW","2533","2003-11-06",False,NULL,NULL,"2025-11-30 15:33:45.318909"
"13","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","Asseton Group Pty. Ltd.","11610423035","0.7692",NULL,"0.7692","fuzzy","QLD","4000","2016-02-01",False,NULL,NULL,"2025-11-30 15:33:45.318909"
