"abn","canonical_name","trading_name","url","domain","industry","entity_type","entity_status","state","postcode","start_date","source","confidence_score","created_at","updated_at"
"11082955182","Westpiper PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","CAN","WA","6008","2015-04-28","MERGED","0.7500","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11142528667","Westserv Pty Ltd","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","VIC","3049","2010-04-01","MERGED","0.8000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11148192134","Real Estate Action PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","VIC","3429","2020-06-12","MERGED","0.7586","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11601467761","Westerncare PTY LTD","Western Australia, Australia","https://advertiseme.com.au/portfolio/digital-signage-perth-dermatology-clinic-doctor-medical-board/","advertiseme.com.au",NULL,"Australian Private Company","ACT","WA","6107","2014-08-26","MERGED","0.7778","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11607649767","Real Estate Australia Media PTY LTD","Real Estate Australia Australia","http://www.real-estate-australia.com.au/Display1.php?agents_id=10072229&id=21446538","real-estate-australia.com.au",NULL,"Australian Private Company","CAN","NSW","2171","2020-03-10","MERGED","0.7857","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11610423035","Asseton Group Pty. Ltd.","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","QLD","4000","2016-02-01","MERGED","0.7692","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11614904862","Quality Seal Australia PTY LTD","Quality West Australia","http://westpork.com.au/lifecycle","westpork.com.au",NULL,"Australian Private Company","CAN","NSW","2142","2019-03-25","MERGED","0.7500","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11633757687","Northmont Financial Administration Services PTY LTD","Northmont Financial Administration Services Pty Ltd","http://homeloanadvice.com.au/what_is_a_conventional_home_loan.asp","homeloanadvice.com.au",NULL,"Australian Private Company","ACT","VIC","3004","2019-05-31","MERGED","1.0000","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11651624592","Assent Group PTY LTD","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","VIC","3146","2021-07-01","MERGED","0.8333","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
"11685919279","Assetio PTY LTD","ASSETT PTY LTD","http://www.real-estate-australia.com.au/Display1.php?agents_id=10053695&id=20031030","real-estate-australia.com.au",NULL,"Australian Private Company","ACT","VIC","3331","2025-04-02","MERGED","0.7692","2025-11-30 15:33:57.520524","2025-12-01 19:35:11.425813"
